reading_score,listening_score,writing_score,speaking_score,age,gap_year,marital_status,visa_type,label
5.4,6.8,6.8,7.5,41,2,single,STUDENT,1
6.0,7.0,6.0,6.0,29,1,single,DEPENDENT,0
7.3,5.0,6.1,5.8,33,6,single,STUDENT,0
6.6,5.1,6.0,6.6,24,4,single,WORK,0
6.6,7.2,6.4,6.5,19,3,single,STUDENT,0
7.6,6.9,6.1,5.3,57,3,single,WORK,0
5.2,6.7,7.2,6.7,25,5,single,WORK,0
5.5,4.9,7.3,6.0,43,0,single,STUDENT,0
6.8,6.1,5.8,7.1,41,6,married,WORK,0
7.4,7.3,6.3,5.9,58,3,married,WORK,1
6.0,6.3,5.4,5.3,52,3,married,WORK,0
5.5,6.4,7.5,7.3,43,6,married,DEPENDENT,1
3.9,7.3,6.6,6.2,49,3,married,STUDENT,0
8.0,6.0,5.7,6.0,19,1,married,STUDENT,1
6.8,6.8,7.9,6.7,45,0,single,WORK,1
6.1,5.0,6.8,6.8,56,5,single,STUDENT,0
6.1,6.2,7.0,6.3,49,7,married,STUDENT,0
6.5,6.5,7.3,5.4,20,0,single,STUDENT,1
6.1,6.4,7.7,5.1,19,4,single,DEPENDENT,0
7.3,5.4,5.7,7.3,55,7,single,DEPENDENT,0
7.7,6.1,6.1,6.9,23,7,single,DEPENDENT,0
4.9,6.6,5.4,7.0,50,7,single,WORK,0
6.1,5.6,6.1,7.1,33,1,divorced,DEPENDENT,0
6.6,7.0,6.4,6.7,58,2,married,WORK,1
6.2,7.6,7.4,8.3,42,2,divorced,WORK,1
6.4,4.6,6.7,6.5,53,0,single,STUDENT,1
6.0,5.4,7.4,7.5,50,7,single,STUDENT,0
5.6,5.7,6.4,6.8,25,2,single,STUDENT,1
7.9,7.7,6.1,7.0,36,3,single,STUDENT,0
6.4,7.2,6.0,7.3,38,7,married,WORK,0
6.7,5.3,6.7,6.9,57,5,single,STUDENT,0
7.6,6.6,7.4,7.6,56,4,single,WORK,0
7.2,5.1,5.3,7.0,25,7,single,STUDENT,0
4.9,8.5,5.3,7.7,39,1,married,STUDENT,1
4.5,6.9,6.0,7.3,22,6,single,STUDENT,0
8.9,8.3,7.9,7.3,30,1,single,STUDENT,1
5.8,7.4,5.7,6.4,54,1,divorced,STUDENT,1
5.7,8.2,6.2,6.2,51,7,single,WORK,0
5.2,7.4,8.6,7.5,20,3,married,WORK,0
6.2,5.7,7.2,7.1,53,0,single,STUDENT,1
6.2,7.0,9.0,6.6,21,7,single,WORK,0
6.6,6.1,6.6,7.2,52,3,single,WORK,1
6.9,7.6,7.0,7.6,46,4,single,WORK,0
6.6,6.1,7.7,5.2,46,1,married,STUDENT,1
6.5,4.8,5.5,7.8,28,4,single,STUDENT,0
6.6,7.0,8.2,4.6,52,0,married,STUDENT,1
7.0,5.0,6.7,7.6,29,0,married,STUDENT,1
5.9,5.2,6.2,9.0,42,5,single,WORK,0
6.1,7.5,6.6,6.8,36,1,married,STUDENT,1
5.5,5.3,7.7,7.3,40,7,married,STUDENT,0
5.8,6.5,4.4,8.3,40,4,single,STUDENT,0
6.9,5.9,5.7,6.7,24,5,married,STUDENT,0
7.1,7.4,7.7,6.0,24,0,married,STUDENT,1
6.3,8.4,8.0,5.6,27,1,single,STUDENT,1
5.9,5.0,8.1,7.0,25,4,married,STUDENT,0
5.4,7.3,6.0,4.0,42,7,single,WORK,0
4.6,7.1,6.3,6.8,36,3,single,STUDENT,0
5.8,5.5,7.9,5.8,28,3,divorced,STUDENT,0
5.6,6.3,5.5,6.0,53,1,single,STUDENT,0
5.7,5.2,6.2,4.8,34,0,single,STUDENT,0
5.6,7.0,5.2,8.3,47,1,married,WORK,1
7.9,6.1,6.8,6.5,28,4,married,STUDENT,0
6.8,7.7,6.7,6.0,22,6,married,STUDENT,0
8.1,7.1,5.9,7.9,38,5,single,DEPENDENT,0
5.6,5.8,6.8,7.0,51,3,single,STUDENT,0
3.0,6.2,6.0,7.4,18,5,divorced,STUDENT,0
6.9,7.8,3.9,5.8,54,4,married,STUDENT,0
6.7,7.3,6.6,6.7,35,5,married,WORK,0
6.9,8.2,7.4,6.4,47,6,single,STUDENT,0
6.3,7.9,7.0,7.1,37,7,single,WORK,0
5.4,5.9,4.7,7.4,40,6,married,WORK,0
5.6,7.1,5.7,8.2,49,2,single,STUDENT,1
5.1,7.0,6.0,7.5,59,4,single,DEPENDENT,0
4.4,7.0,5.3,5.3,43,0,single,WORK,0
5.3,6.5,6.7,6.5,39,5,married,WORK,0
8.1,6.3,7.1,6.8,35,1,single,STUDENT,1
6.8,6.0,6.8,5.2,34,6,single,STUDENT,0
5.8,5.3,4.3,6.1,58,4,single,WORK,0
6.9,8.1,8.0,8.5,59,0,single,WORK,1
5.1,7.1,4.4,6.5,50,4,single,DEPENDENT,0
5.8,6.0,5.9,5.6,48,7,married,STUDENT,0
4.0,7.2,6.9,6.4,21,6,married,STUDENT,0
7.0,5.5,6.6,7.3,25,1,single,STUDENT,1
5.9,5.5,6.8,3.8,29,6,married,WORK,0
6.5,5.6,6.3,7.0,20,0,single,WORK,0
8.5,8.5,7.1,5.5,37,0,single,STUDENT,1
6.4,5.5,7.8,7.0,48,0,married,STUDENT,1
7.2,6.4,7.2,6.3,39,3,married,WORK,1
5.9,7.1,6.2,6.2,22,2,married,STUDENT,1
7.4,6.2,7.7,6.1,56,7,single,WORK,0
7.6,5.7,4.9,6.5,50,6,single,STUDENT,0
6.7,7.3,5.0,7.6,32,6,married,WORK,0
6.7,6.7,6.0,5.7,54,2,married,WORK,0
8.0,6.9,6.2,7.3,55,4,single,STUDENT,0
6.2,5.5,6.1,6.9,21,3,married,WORK,0
7.8,8.5,7.2,8.1,37,2,divorced,STUDENT,1
6.1,5.0,7.3,5.0,43,4,single,STUDENT,0
7.4,5.6,5.6,6.7,21,4,married,STUDENT,0
6.8,5.4,5.2,8.4,46,5,married,WORK,0
5.5,6.4,6.6,7.6,57,6,single,DEPENDENT,0
7.6,5.9,7.4,4.2,28,5,single,STUDENT,0
6.2,8.2,6.2,5.0,41,0,single,STUDENT,1
6.3,7.2,8.3,7.6,45,1,married,STUDENT,1
5.7,6.3,6.5,6.7,18,7,single,STUDENT,0
6.7,6.4,5.9,6.0,46,5,married,WORK,0
7.5,5.5,8.9,8.4,47,5,married,WORK,0
5.9,6.3,5.7,7.4,36,5,single,STUDENT,0
6.2,7.5,4.9,6.8,40,2,single,WORK,0
7.3,4.6,6.6,7.5,25,1,married,WORK,1
7.7,6.9,6.2,5.4,35,6,married,DEPENDENT,1
6.8,7.4,7.0,6.8,22,3,single,WORK,1
6.2,6.4,6.0,7.5,47,0,single,WORK,1
7.5,6.5,6.2,7.8,34,5,married,STUDENT,0
5.1,6.0,5.5,8.4,43,1,married,WORK,0
7.5,7.0,7.8,6.6,58,5,single,WORK,0
8.3,6.5,5.6,5.6,44,7,single,STUDENT,0
9.0,6.3,6.2,7.6,19,3,divorced,WORK,0
6.6,6.3,7.3,6.4,56,7,married,STUDENT,0
7.0,6.7,5.6,7.2,53,6,single,STUDENT,0
6.5,5.8,4.8,7.5,43,1,single,WORK,0
6.5,8.3,5.9,8.3,56,2,married,STUDENT,1
5.4,7.4,4.7,7.6,34,1,married,WORK,0
7.2,7.8,7.3,7.4,33,5,divorced,WORK,0
7.9,7.5,6.6,6.1,49,1,married,DEPENDENT,1
5.2,9.0,5.8,6.1,24,0,single,DEPENDENT,0
7.9,6.1,7.9,3.8,56,0,married,STUDENT,1
5.6,9.0,6.6,7.5,43,6,single,STUDENT,0
6.7,7.9,7.7,7.3,50,7,single,WORK,0
5.4,4.1,6.1,5.3,49,2,single,DEPENDENT,0
6.5,5.9,4.9,7.1,27,5,single,STUDENT,0
5.6,7.3,6.2,5.7,47,1,single,STUDENT,1
6.5,6.7,8.1,5.5,29,2,married,STUDENT,1
6.3,5.7,8.8,5.8,42,6,divorced,WORK,0
6.7,7.0,6.8,9.0,27,2,single,STUDENT,1
7.1,5.9,6.0,6.3,40,0,single,STUDENT,1
4.8,6.7,4.7,9.0,34,7,married,WORK,0
7.9,7.2,6.4,7.6,20,2,single,STUDENT,1
7.0,7.6,5.6,6.6,41,3,single,DEPENDENT,0
6.5,8.3,6.0,6.7,34,1,single,STUDENT,1
7.7,6.8,7.8,5.4,44,4,single,STUDENT,0
7.1,7.6,7.3,7.0,42,4,married,DEPENDENT,1
5.9,7.0,6.1,5.7,47,6,single,WORK,0
6.5,7.8,6.7,6.5,34,7,single,WORK,0
8.0,6.7,6.8,6.1,27,0,divorced,WORK,1
7.1,6.7,6.1,6.7,44,7,married,STUDENT,0
4.7,7.5,6.0,6.6,31,7,married,STUDENT,0
7.6,8.2,5.9,6.3,50,5,single,STUDENT,0
6.4,5.3,6.6,7.7,46,4,single,WORK,0
5.8,7.2,6.9,6.7,54,2,divorced,WORK,1
4.7,5.9,7.7,5.6,51,4,single,WORK,0
7.0,8.2,9.0,4.8,42,0,single,DEPENDENT,0
8.1,4.0,7.0,6.2,20,3,married,STUDENT,0
5.8,8.3,6.5,5.1,39,5,single,STUDENT,0
6.8,6.5,6.4,5.3,47,7,single,WORK,0
7.4,7.8,6.8,7.0,41,0,single,DEPENDENT,0
6.5,5.3,8.0,7.4,27,7,single,DEPENDENT,0
5.6,6.5,6.2,6.4,43,5,single,STUDENT,0
7.1,5.5,6.9,6.6,20,2,single,DEPENDENT,0
6.6,5.9,7.2,6.9,45,5,married,DEPENDENT,1
8.6,6.3,8.7,7.7,39,1,single,WORK,1
6.3,5.3,7.2,8.1,29,4,single,STUDENT,0
6.1,4.5,7.1,6.9,49,2,single,WORK,0
5.2,7.7,6.0,9.0,45,1,single,STUDENT,1
5.2,6.1,6.2,6.9,38,6,single,STUDENT,0
7.9,7.3,6.5,8.1,49,0,single,WORK,1
7.6,6.5,6.3,7.4,59,2,married,WORK,1
7.0,5.2,7.9,7.3,52,1,married,DEPENDENT,1
5.9,5.8,6.5,7.7,31,7,married,DEPENDENT,1
6.8,5.8,5.6,4.9,52,4,single,WORK,0
4.9,8.0,5.7,5.7,27,2,single,WORK,0
8.5,5.9,6.3,5.4,25,2,married,STUDENT,1
5.2,5.0,4.9,7.7,29,4,married,STUDENT,0
7.6,6.3,8.1,8.8,37,1,divorced,WORK,1
5.3,7.1,6.7,5.6,29,1,single,STUDENT,1
5.0,7.0,4.4,6.8,55,3,single,STUDENT,0
5.8,7.0,7.1,5.7,46,7,single,STUDENT,0
7.3,5.3,6.4,6.7,47,1,single,DEPENDENT,0
6.9,7.0,6.7,6.2,21,0,married,WORK,1
7.0,7.5,4.6,7.4,19,1,married,DEPENDENT,1
6.2,6.7,5.9,6.2,51,4,married,STUDENT,0
7.4,6.4,6.1,7.3,28,0,single,DEPENDENT,0
5.2,4.9,5.6,8.1,42,0,single,WORK,0
8.1,7.5,5.8,8.8,20,4,married,STUDENT,0
6.0,6.5,5.3,5.0,51,7,married,WORK,0
7.9,7.1,7.1,7.4,38,6,single,WORK,0
5.3,8.0,6.4,5.1,36,1,single,DEPENDENT,0
8.5,6.8,6.6,7.3,25,7,single,WORK,0
6.8,6.4,6.6,7.8,24,6,married,WORK,0
5.9,5.6,5.9,7.0,53,3,single,WORK,0
5.9,6.6,7.0,6.6,39,5,single,WORK,0
7.1,7.7,6.0,5.4,59,7,married,WORK,0
5.6,5.4,7.2,7.0,56,1,married,WORK,0
6.3,5.4,6.1,5.9,51,0,single,WORK,0
6.5,6.4,7.5,8.7,27,0,single,STUDENT,1
6.8,6.5,6.9,5.7,20,1,single,WORK,0
7.1,8.1,6.1,6.3,57,4,married,WORK,0
5.4,5.8,5.9,6.3,19,3,married,STUDENT,0
7.5,6.6,7.0,8.6,20,5,married,STUDENT,0
7.2,8.4,6.2,8.2,25,5,married,DEPENDENT,1
7.0,5.6,6.7,5.1,47,0,married,DEPENDENT,1
4.2,6.0,5.7,7.3,47,4,single,STUDENT,0
6.9,6.8,6.7,9.0,51,4,single,STUDENT,0
5.7,5.2,4.7,7.0,40,1,married,STUDENT,0
6.5,7.3,6.6,6.4,52,5,married,WORK,0
7.1,7.1,6.0,6.3,38,2,single,DEPENDENT,0
6.5,6.5,7.6,7.0,42,4,married,WORK,0
9.0,6.2,5.8,7.0,20,2,single,DEPENDENT,0
5.9,6.3,6.6,7.0,49,7,single,STUDENT,0
3.6,6.8,6.8,5.7,46,2,married,STUDENT,0
6.3,8.0,6.6,6.2,26,6,single,WORK,0
6.1,5.8,6.8,5.9,50,3,married,STUDENT,0
5.8,5.8,7.0,5.5,55,6,married,STUDENT,0
8.2,5.4,6.9,4.3,39,5,single,WORK,0
6.3,5.5,6.9,7.9,40,1,single,STUDENT,1
7.4,6.0,5.3,7.0,54,4,single,WORK,0
7.3,5.2,4.8,6.5,43,5,single,STUDENT,0
6.3,8.2,5.1,4.9,55,1,married,STUDENT,1
7.6,5.4,4.9,6.1,27,1,single,DEPENDENT,0
8.7,5.9,7.2,6.8,25,0,married,DEPENDENT,1
5.3,6.6,6.6,8.2,54,7,single,STUDENT,0
6.1,6.7,5.2,5.5,28,3,married,STUDENT,0
6.0,6.1,6.8,5.8,49,7,single,WORK,0
7.5,5.7,5.1,8.0,20,0,single,STUDENT,1
7.5,6.4,5.7,6.1,44,7,single,STUDENT,0
6.5,7.3,5.4,6.9,27,6,single,STUDENT,0
6.3,5.7,4.3,7.5,39,3,single,WORK,0
6.7,6.3,5.2,7.4,49,5,married,STUDENT,0
6.3,6.8,6.3,8.1,25,5,married,WORK,0
5.5,7.0,6.8,6.5,39,3,single,WORK,0
6.9,5.8,6.0,7.1,40,7,single,STUDENT,0
7.3,7.4,5.6,6.7,40,4,single,STUDENT,0
6.3,7.5,6.7,5.3,25,0,married,WORK,0
5.6,5.9,6.8,7.3,42,1,married,DEPENDENT,1
8.0,7.4,7.2,4.3,53,5,married,WORK,0
7.3,7.3,7.6,7.3,48,6,single,WORK,0
6.2,5.6,7.7,7.1,52,1,single,WORK,1
5.0,7.8,5.9,9.0,31,2,single,STUDENT,1
8.4,8.4,8.1,7.5,35,2,single,WORK,1
5.7,6.5,6.3,6.0,47,1,married,WORK,0
3.7,7.3,6.1,5.6,50,1,single,WORK,0
7.1,7.2,5.6,7.6,50,0,married,STUDENT,1
7.0,5.6,6.8,5.1,27,1,single,STUDENT,1
8.2,8.2,6.9,6.7,36,1,married,WORK,1
